State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.20686	2.25429	2.24930	2.22683	2.24930	2.26677	2.26428	2.28425	2.28924	2.29423	2.38161	2.40907	2.39409	2.31421	2.26428	2.25429	2.26428	2.27926	2.29174	2.29174	2.32419
2	0.73287	0.73435	0.73700	0.73999	0.74047	0.74181	0.74281	0.74459	0.74840	0.75526	0.76268	0.76884	0.77664	0.78476	0.79235	0.79864	0.80302	0.80796	0.81273	0.81924	0.82445
3	2.05147	2.04488	2.05147	2.06135	2.07123	2.10415	2.12391	2.16343	2.13050	2.03500	1.95927	1.89012	1.90329	1.84731	1.78145	1.75840	1.78474	1.78145	1.80450	1.75840	1.70901
4	2.65235	2.64056	2.64011	2.62787	2.60930	2.59525	2.57848	2.55763	2.54676	2.53045	2.51458	2.48014	2.43709	2.37818	2.33876	2.29299	2.21641	2.17109	2.11263	2.05553	2.00705
5	0.98892	0.97985	0.97532	0.98167	0.97351	0.96354	0.94994	0.92819	0.90825	0.88287	0.86111	0.83301	0.81216	0.79585	0.77681	0.76956	0.78135	0.75143	0.75959	0.76956	0.78135
6	1.70548	1.75579	1.74070	1.70548	1.80610	1.70045	1.76585	1.84634	1.80107	1.67026	1.70548	1.71051	1.72560	1.71051	1.63505	1.50424	1.46399	1.52437	1.50927	1.47909	1.44890
7	3.03455	2.93339	2.95362	2.91316	2.82213	3.04466	2.95362	2.94351	2.96374	3.02443	2.88282	2.79178	2.50856	2.41752	2.39729	2.29614	2.20510	2.27591	2.27591	2.23545	2.02303
8	5.66161	5.80063	5.19402	4.92864	4.70116	4.52424	4.10720	3.61433	3.32367	3.20993	2.78026	2.48959	2.45168	2.35058	2.59069	2.90663	3.04564	2.89399	2.71707	2.96982	2.86872
9	3.85433	3.62373	3.62373	3.58420	3.53149	3.37995	3.36677	3.42607	3.20206	2.93193	2.95169	3.03734	3.19547	3.12958	3.07029	3.01758	3.01099	3.06370	3.04393	3.07029	3.27453
10	2.63600	2.68768	2.78459	2.63600	2.61661	2.67476	2.73291	2.70060	2.72645	2.77167	2.48094	2.45509	2.31942	2.33880	2.31942	2.42925	2.55201	2.51970	2.60369	2.61015	2.42925
11	4.97666	4.91312	4.91312	5.04019	4.63782	4.59547	4.74371	4.23545	4.12957	3.66367	2.66833	2.24479	2.01184	2.43538	2.77422	2.73187	2.77422	2.71069	2.56245	2.49892	2.43538
12	1.26091	1.09746	1.07994	1.26675	1.25507	1.34263	1.44187	1.54695	1.49441	1.40685	1.51776	1.51776	1.51192	1.57613	1.53527	1.58781	1.48857	1.41268	1.57030	1.40101	1.36015
13	1.30973	1.28724	1.21979	1.22541	1.15795	1.23665	1.32659	1.30410	1.45025	1.47274	1.39966	1.63575	1.58516	1.39404	1.47274	1.41653	1.40528	1.56268	1.55706	1.48398	1.47836
14	1.27371	1.40162	1.40162	1.38030	1.48689	1.44425	1.53485	1.65742	1.58281	1.60946	1.64144	1.46024	1.50820	1.68407	1.47623	1.50820	1.56150	1.50820	1.57215	1.59347	1.57748
15	0.96639	0.99447	0.98043	0.94065	1.07637	1.08105	1.05531	1.09275	1.15827	1.21443	1.20039	1.22144	1.16763	1.18401	1.18167	1.12083	1.20975	1.21443	1.15359	1.16529	1.21677
