State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.73309	4.88293	4.96445	5.01293	4.97327	4.78818	4.42680	3.88475	3.26336	2.78961	2.51197	2.42604	2.69927	3.20828	3.74372	4.19984	4.48850	4.75512	4.87631	4.89615	4.88954
2	0.80963	0.79608	0.78019	0.75408	0.71656	0.65855	0.58236	0.48993	0.41209	0.37579	0.36170	0.36086	0.37189	0.39207	0.41787	0.44762	0.48028	0.50754	0.52829	0.54411	0.55743
3	0.88356	0.88066	0.88647	0.88938	0.89519	0.89810	0.86613	0.80800	0.78765	0.73824	0.74405	0.75568	0.79928	0.83415	0.83415	0.86322	0.86322	0.85450	0.88356	0.90972	0.92426
4	0.78236	0.72717	0.66597	0.59597	0.52878	0.47118	0.41398	0.37518	0.34638	0.33318	0.33598	0.33958	0.34678	0.36398	0.38078	0.42278	0.51118	0.62397	0.73437	0.86876	0.99155
5	1.24090	1.11849	0.94407	0.79126	0.64885	0.53844	0.48564	0.44403	0.42403	0.40883	0.40003	0.39683	0.41123	0.42403	0.44643	0.53924	0.78726	1.24410	1.88575	2.47619	2.93543
6	4.36504	4.56042	4.63591	4.22738	3.43253	2.46893	1.70960	1.27443	1.05685	1.02576	0.99024	0.92363	1.08793	1.37656	2.77977	5.63059	9.44500	12.57113	13.45924	13.42372	13.02407
7	6.79431	7.33892	8.21388	9.18705	9.42810	8.71385	5.98185	3.89266	2.92843	2.48202	2.51773	2.69630	2.90164	5.54437	13.78503	23.32027	27.36472	26.92724	24.90055	22.57031	20.42756
8	6.12382	7.80815	9.71557	12.06917	16.09595	20.08926	23.64754	23.79255	20.68045	15.28167	16.18518	37.22257	60.43509	76.73181	76.66489	64.49533	49.70446	36.69831	27.64085	20.24542	15.42668
9	4.25689	4.95474	6.04222	7.87408	10.89228	16.31225	26.07633	40.48694	57.84014	65.52231	67.80195	68.90106	55.21739	40.27176	27.33828	17.10314	10.92717	7.33906	5.07686	3.90796	3.07054
10	3.62685	4.10587	5.01828	6.83741	9.24961	13.30415	17.30737	20.67190	19.48006	22.41690	22.62219	11.62759	11.08014	11.47362	12.38603	12.43736	10.13351	7.78404	5.87937	4.67613	3.55842
11	4.43002	4.67302	5.36463	6.67307	8.28059	10.87879	14.37421	18.80424	23.30903	27.02876	29.72042	30.39333	29.10358	26.37453	22.91650	18.86031	15.73874	12.65454	9.83204	7.94414	6.28054
12	1.79307	1.72093	1.99402	2.02493	2.16920	2.21042	2.49381	2.10737	2.02493	1.99917	1.62819	1.44270	1.26751	1.28297	1.43755	1.81368	2.09707	2.04039	1.89097	1.79822	1.72093
13	1.51822	1.67202	1.82087	2.04413	2.30709	2.63455	2.75859	2.92728	2.92728	2.17809	1.85560	1.64225	1.41403	1.32472	1.26518	1.19572	1.26022	1.22053	1.28503	1.28999	1.16595
14	1.11483	1.18069	1.07250	1.14306	1.23713	1.09602	1.13835	1.05839	0.78085	0.70559	0.56918	0.55977	0.60210	0.57858	0.48921	0.52684	0.59740	0.63503	0.76204	0.69148	0.71970
15	1.42921	1.58205	1.61716	1.67292	1.68119	1.66673	1.40856	1.20409	1.02647	0.84059	0.86744	0.75385	0.72287	0.75591	0.81787	0.95625	1.05745	1.12561	1.16072	1.10289	1.09050
