State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.39270	5.83814	1.88456	0.94169	2.38186	2.51205	4.26454	0.76906
2	80.15105	0.20661	0.64190	0.79381	0.76267	0.36172	0.58419	1.16106
3	1.05585	1.00057	2.12710	0.68737	1.95947	0.74408	0.84612	0.71839
4	7.67237	0.27151	3.04592	2.21106	2.51485	0.33599	0.54211	0.28546
5	3.83571	0.23154	1.16656	2.29469	0.86029	0.40004	0.85536	0.11738
6	0.69109	0.41937	1.62043	2.27662	1.70566	0.99027	4.29132	0.08642
7	0.34372	0.62965	2.39401	2.25542	2.88312	2.51781	9.62629	0.07846
8	0.27512	33.07692	6.59289	2.21945	2.78055	16.18568	25.78556	0.14607
9	0.52770	71.69585	9.53442	1.38869	2.95200	67.79822	23.56508	0.33905
10	0.53814	20.72250	3.40187	1.05238	2.48120	22.62289	10.98274	0.63691
11	0.16418	70.61212	7.91427	1.24851	2.66861	29.72133	15.93066	0.80605
12	0.59560	0.52337	1.30771	1.24515	1.51792	1.62824	1.85520	0.53584
13	0.61852	0.55338	1.31937	1.34280	1.39981	1.85565	1.80824	0.28821
14	0.65239	0.13325	1.40510	1.37447	1.64161	0.56919	0.84050	0.35182
15	1.48586	0.23931	0.94712	1.10394	1.20051	0.86747	1.21292	0.64729
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
