State (Emission order)	H3k04me1AlnRep1	H3k27acAlnRep1	H3k09acAlnRep1	H3k04me3AlnRep1	H2azAlnRep1	H3k04me2AlnRep1	H3k79me2AlnRep1	H3k36me3AlnRep1	H3k27me3AlnRep1	H3k09me3AlnRep1
1	0.001873147951838902	1.628968789024681E-4	6.167049751027048E-4	6.083118505625051E-4	0.003919735373548743	0.004663593860238569	3.7718822680955826E-4	1.9227014873385894E-4	0.2540009274134485	0.00860100788678148
2	7.6162278397838535E-6	7.552385104655518E-5	2.281585259521209E-4	3.854095823407703E-4	0.0032176686248739654	1.8834603890946763E-17	1.7370144060226757E-4	8.518018289467622E-4	0.0036431527748108407	0.0050157758865936606
3	6.029356436332398E-4	5.865822991049608E-4	0.0018632631865834672	0.007539505927433934	0.0137872767072241	1.7443559237292656E-4	0.0057371670552426686	0.02555470492777752	0.0049741060546443045	0.3540790938914589
4	0.004689108689435231	0.002336911328805454	0.003137033049205504	9.746762000952335E-4	5.031407810898889E-4	6.316932967536171E-4	0.05785929688884792	0.10479193105957664	6.493037103801866E-4	0.002219641481776553
5	0.009975635551052306	0.0039071907891959304	0.004903095055810633	0.0014674048251999859	6.615357899780167E-4	7.738590480536655E-4	0.746578221673558	0.07224568590555935	7.73047215290124E-4	0.005794509627531768
6	0.4006017631288286	0.2017622710150725	0.1132230426321673	0.03412943782861464	0.006294279843195323	0.3813479523332426	0.8607129442182424	0.09869802220491539	0.0016896011386159154	0.0028968839382113956
7	0.8194744952179459	0.5517054670551855	0.8018197180164965	0.44684299800318256	0.025186348210112477	0.9545780076558189	0.9308798927934787	0.0931563547070736	0.0016914379256092694	0.0022348487801265807
8	0.18792350275282688	0.621169893073018	0.9969601970066462	0.9975668496403522	0.3911331064027036	0.9988209907323096	0.951765629163587	0.015977601306584304	0.00450924992317797	0.0012298645491927594
9	0.17529521499636885	0.3780473961909799	0.9290354060848827	0.9547625057491153	0.7627345100332724	0.988020652369713	0.03643760969697952	1.8590084878211352E-5	0.007787080863628262	0.001418182181970677
10	0.12840912172449317	0.007336318674427131	0.1277073345476581	0.13128675837194015	0.32043899810072524	0.7694993230159313	0.013324338960044382	1.8357493695660642E-4	0.011728278175650307	0.002255176544506253
11	0.12477348674299335	0.01629256414466009	0.15354023608446837	0.44444212646467784	0.4262670123421654	0.8702746207486277	0.0448255802663482	0.05798339623130561	0.5050900312806536	0.11042095447980411
12	0.7299352954959236	0.27170093752505287	0.1859370448827567	0.06705966597041511	0.19389374816733576	0.839635293546884	0.007461365890168769	0.0038164206379467215	0.002039174379171408	0.0018476859442433742
13	0.8845074096692801	0.9879891148235332	0.8493579087371323	0.2542828493561493	0.2553845417681232	0.9360961177220835	0.01745231058471886	0.009361270391801724	7.029925663306343E-4	0.001976580368726173
14	0.4823189164354498	0.7491606418759347	0.22547067167327908	0.014439771689924007	0.03329286533135799	0.1360492072328431	0.023047252667171687	0.036132242781046015	0.0011071925528402284	0.007239791435283789
15	0.23600672202371786	0.03802246451368175	0.01732377879663487	0.006755115877212439	0.06581988163589482	0.043011855543889636	0.0028660055011525375	0.0023327379723901303	0.0030601235420394403	0.0028586112325340194
