15	10	E	-7012958.550097334	200
probinit	1	4.134322914575933E-98
probinit	2	1.0
probinit	3	2.7188303908913903E-290
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	1.5229684201676386E-208
transitionprobs	1	1	0.9307677305659705
transitionprobs	1	2	0.04635502165061717
transitionprobs	1	3	3.7891510337492685E-4
transitionprobs	1	4	0.0
transitionprobs	1	5	2.6189545457002346E-5
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.004893780555969239
transitionprobs	1	11	0.01581611894826573
transitionprobs	1	12	4.0120031114568094E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	5.916555466391127E-6
transitionprobs	1	15	0.0013551267637332853
transitionprobs	2	1	9.770318775607575E-4
transitionprobs	2	2	0.9868778065314917
transitionprobs	2	3	0.0013622743839269585
transitionprobs	2	4	4.1799406227282875E-4
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	5.44234542429429E-7
transitionprobs	2	8	0.0
transitionprobs	2	9	6.914384346738642E-5
transitionprobs	2	10	0.001940373438737172
transitionprobs	2	11	0.0
transitionprobs	2	12	1.6857955020599822E-4
transitionprobs	2	13	3.691246871894196E-5
transitionprobs	2	14	4.6374554031669243E-4
transitionprobs	2	15	0.0076855940687592245
transitionprobs	3	1	2.88241963034037E-4
transitionprobs	3	2	0.08502851678601814
transitionprobs	3	3	0.9066433752002719
transitionprobs	3	4	0.0018768155323782277
transitionprobs	3	5	3.8556824553795166E-4
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.004581925644845495
transitionprobs	3	12	4.7110695155592704E-5
transitionprobs	3	13	0.0
